,state,state_code,year,drug_deaths,population,labor_force,employment,unemployment,unemployment_rate,cpi_all_urban_consumers,gdp_per_capita,death_rate
0,Alabama,1,1999,195,4430141,2140296,2038889,101407,4.7,166.6,33106,0.004401666
1,Alabama,1,2000,232,4447100,2133223,2035594,97629,4.6,172.2,33106,0.005216883
2,Alabama,1,2001,253,4467634,2115401,2006884,108517,5.1,177.1,33312,0.005662953
3,Alabama,1,2002,248,4480089,2106161,1981919,124242,5.9,179.9,34068,0.005535604
4,Alabama,1,2003,255,4503491,2120225,1992732,127493,6,184,34855,0.005662274
5,Alabama,1,2004,327,4530729,2136458,2014889,121569,5.7,188.9,36702,0.007217382
6,Alabama,1,2005,332,4569805,2146025,2049791,96234,4.5,195.3,37578,0.00726508
7,Alabama,1,2006,466,4628981,2167809,2080233,87576,4,201.6,37735,0.01006701
8,Alabama,1,2007,554,4672840,2175612,2089127,86485,4,207.342,37522,0.011855745
9,Alabama,1,2008,646,4718206,2176489,2053477,123012,5.7,215.303,36976,0.013691645
10,Alabama,1,2009,688,4757938,2162999,1924747,238252,11,214.537,35376,0.014460046
11,Alabama,1,2010,585,4779736,2196042,1964559,231483,10.5,218.056,35913,0.01223917
12,Alabama,1,2011,605,4802740,2202670,1990413,212257,9.6,224.939,36201,0.012596976
13,Alabama,1,2012,632,4822023,2176337,2003290,173047,8,229.594,36425,0.013106532
14,Alabama,1,2013,648,4833722,2174000,2017043,156957,7.2,232.957,36660,0.013405819
15,Alabama,1,2014,800,4849377,2161618,2015087,146531,6.8,236.736,36455,0.016496964
16,Alabama,1,2015,810,4858979,2157376,2025949,131427,6.1,237.017,36911,0.016670169
17,Alabama,1,2016,855,4863300,2173175,2045624,127551,5.9,240.007,37402,0.017580655
18,Alaska,2,1999,56,624779,317943,297354,20589,6.5,166.6,58609,0.008963169
19,Alaska,2,2000,54,626932,319511,299146,20365,6.4,172.2,57184,0.008613374
20,Alaska,2,2001,72,633714,321393,300731,20662,6.4,177.1,58547,0.011361592
21,Alaska,2,2002,85,642337,326401,302580,23821,7.3,179.9,60101,0.013232929
22,Alaska,2,2003,86,648414,331669,305723,25946,7.8,184,59008,0.013263131
23,Alaska,2,2004,92,659286,336743,311643,25100,7.5,188.9,60137,0.01395449
24,Alaska,2,2005,85,666946,344559,320811,23748,6.9,195.3,61125,0.01274466
25,Alaska,2,2006,85,675302,349691,326542,23149,6.6,201.6,64349,0.012586961
26,Alaska,2,2007,75,680300,350785,328579,22206,6.3,207.342,67228,0.011024548
27,Alaska,2,2008,132,687455,356109,332285,23824,6.7,215.303,67527,0.019201257
28,Alaska,2,2009,133,698895,359647,331792,27855,7.7,214.537,72204,0.01903004
29,Alaska,2,2010,84,710231,361913,333416,28497,7.9,218.056,69564,0.011827138
30,Alaska,2,2011,107,722718,365913,338161,27752,7.6,224.939,70573,0.014805221
31,Alaska,2,2012,132,731449,365519,339474,26045,7.1,229.594,73478,0.018046371
32,Alaska,2,2013,110,735132,365292,339801,25491,7,232.957,69700,0.014963299
33,Alaska,2,2014,127,736732,365704,340585,25119,6.9,236.736,67188,0.01723829
34,Alaska,2,2015,127,738432,363872,340132,23740,6.5,237.017,67302,0.017198605
35,Alaska,2,2016,138,741894,363047,337947,25100,6.9,240.007,63317,0.01860104
36,Arizona,4,1999,557,5023823,2473013,2363084,109929,4.4,166.6,38300,0.011087174
37,Arizona,4,2000,559,5130632,2509883,2410581,99302,4,172.2,39185,0.010895344
38,Arizona,4,2001,598,5273477,2585284,2461498,123786,4.8,177.1,39170,0.011339767
39,Arizona,4,2002,667,5396255,2679421,2516006,163415,6.1,179.9,39323,0.012360424
40,Arizona,4,2003,739,5510364,2736000,2578854,157146,5.7,184,40769,0.013411092
41,Arizona,4,2004,803,5652404,2796269,2655428,140841,5,188.9,41063,0.014206345
42,Arizona,4,2005,849,5839077,2883226,2748372,134854,4.7,195.3,43018,0.014539969
43,Arizona,4,2006,959,6029141,2990441,2864385,126056,4.2,201.6,44086,0.01590608
44,Arizona,4,2007,981,6167681,3034016,2917117,116899,3.9,207.342,44168,0.015905492
45,Arizona,4,2008,853,6280362,3104863,2913903,190960,6.2,215.303,41800,0.01358202
46,Arizona,4,2009,1041,6343154,3128110,2817577,310533,9.9,214.537,38232,0.016411394
47,Arizona,4,2010,1141,6392017,3089705,2769454,320251,10.4,218.056,37935,0.017850391
48,Arizona,4,2011,1118,6482505,3037017,2748470,288547,9.5,224.939,38257,0.017246419
49,Arizona,4,2012,1206,6553255,3028878,2776349,252529,8.3,229.594,38559,0.018403068
50,Arizona,4,2013,1304,6626624,3029425,2794697,234728,7.7,232.957,38303,0.019678195
51,Arizona,4,2014,1274,6731484,3087942,2878611,209331,6.8,236.736,38450,0.01892599
52,Arizona,4,2015,1351,6828065,3153040,2962245,190795,6.1,237.017,38647,0.019785986
53,Arizona,4,2016,1500,6931071,3225703,3052788,172915,5.4,240.007,38985,0.021641677
54,Arkansas,5,1999,121,2651860,1255032,1197320,57712,4.6,166.6,31877,0.004562835
55,Arkansas,5,2000,151,2673400,1258301,1204695,53606,4.3,172.2,31834,0.005648238
56,Arkansas,5,2001,131,2691571,1253456,1191273,62183,5,177.1,31685,0.004867046
57,Arkansas,5,2002,190,2705927,1270997,1201422,69575,5.5,179.9,32514,0.007021623
58,Arkansas,5,2003,203,2724816,1271696,1196299,75397,5.9,184,33678,0.007450044
59,Arkansas,5,2004,249,2749686,1300318,1226123,74195,5.7,188.9,34936,0.009055579
60,Arkansas,5,2005,286,2781097,1345913,1275448,70465,5.2,195.3,35649,0.010283712
61,Arkansas,5,2006,307,2821761,1365410,1294906,70504,5.2,201.6,35803,0.010879731
62,Arkansas,5,2007,326,2848650,1369284,1296572,72712,5.3,207.342,35205,0.011444017
63,Arkansas,5,2008,390,2874554,1375257,1300017,75240,5.5,215.303,34957,0.013567322
64,Arkansas,5,2009,384,2896843,1358911,1252399,106512,7.8,214.537,33837,0.01325581
65,Arkansas,5,2010,374,2915918,1353338,1242496,110842,8.2,218.056,34671,0.012826149
66,Arkansas,5,2011,375,2937979,1362682,1249514,113168,8.3,224.939,35146,0.012763876
67,Arkansas,5,2012,398,2949131,1342753,1241127,101626,7.6,229.594,34965,0.013495501
68,Arkansas,5,2013,343,2959373,1322576,1226859,95717,7.2,232.957,35865,0.011590293
69,Arkansas,5,2014,377,2966369,1316595,1237316,79279,6,236.736,36274,0.01270914
70,Arkansas,5,2015,425,2978204,1332255,1265166,67089,5,237.017,36338,0.014270345
71,Arkansas,5,2016,423,2988248,1342561,1289549,53012,3.9,240.007,36524,0.014155452
72,California,6,1999,3091,33499204,16416600,15555278,861322,5.2,166.6,45541,0.009227085
73,California,6,2000,2301,33871648,16867808,16033179,834629,4.9,172.2,48223,0.006793292
74,California,6,2001,1507,34479458,17128430,16197671,930759,5.4,177.1,47216,0.004370718
75,California,6,2002,3418,34871843,17257097,16108685,1148412,6.7,179.9,47880,0.009801604
76,California,6,2003,3614,35253159,17277618,16102840,1174778,6.8,184,49501,0.010251564
77,California,6,2004,3681,35574576,17383631,16303996,1079635,6.2,188.9,51520,0.010347277
78,California,6,2005,3821,35827943,17530064,16582651,947413,5.4,195.3,53320,0.01066486
79,California,6,2006,4026,36021202,17654109,16789422,864687,4.9,201.6,54842,0.011176751
80,California,6,2007,4178,36250311,17893080,16931590,961490,5.4,207.342,55154,0.011525418
81,California,6,2008,4147,36604337,18178123,16854482,1323641,7.3,215.303,54454,0.011329259
82,California,6,2009,4290,36961229,18215140,16182572,2032568,11.2,214.537,51733,0.011606757
83,California,6,2010,4258,37253956,18336271,16091945,2244326,12.2,218.056,51871,0.011429659
84,California,6,2011,4429,37691912,18415100,16258133,2156967,11.7,224.939,52099,0.011750532
85,California,6,2012,4304,38041430,18523793,16602672,1921121,10.4,229.594,52974,0.011313981
86,California,6,2013,4747,38332521,18624992,16958403,1666589,8.9,232.957,53855,0.012383741
87,California,6,2014,4816,38802500,18758399,17351318,1407081,7.5,236.736,55598,0.012411571
88,California,6,2015,5025,39144818,18896477,17724799,1171678,6.2,237.017,57596,0.012836948
89,California,6,2016,5094,39250017,19093658,18048827,1044831,5.5,240.007,59117,0.012978338
90,Colorado,8,1999,375,4226018,2344282,2272197,72085,3.1,166.6,49040,0.008873602
91,Colorado,8,2000,372,4301261,2359515,2294408,65107,2.8,172.2,51524,0.008648627
92,Colorado,8,2001,444,4425687,2391048,2300113,90935,3.8,177.1,51113,0.010032341
93,Colorado,8,2002,474,4490406,2442992,2307685,135307,5.5,179.9,50870,0.010555838
94,Colorado,8,2003,529,4528732,2486229,2338207,148022,6,184,50743,0.011680974
95,Colorado,8,2004,548,4575013,2532361,2393559,138802,5.5,188.9,50083,0.011978108
96,Colorado,8,2005,640,4631888,2563900,2435082,128818,5,195.3,51473,0.01381726
97,Colorado,8,2006,660,4720423,2622243,2509729,112514,4.3,201.6,51515,0.013981798
98,Colorado,8,2007,747,4803868,2664677,2565218,99459,3.7,207.342,52094,0.015549969
99,Colorado,8,2008,760,4889730,2716625,2585243,131382,4.8,215.303,51651,0.01554278
100,Colorado,8,2009,784,4972195,2722982,2524443,198539,7.3,214.537,49731,0.015767684
101,Colorado,8,2010,676,5029196,2724417,2486404,238013,8.7,218.056,49254,0.013441512
102,Colorado,8,2011,852,5116796,2736079,2507265,228814,8.4,224.939,49285,0.016651045
103,Colorado,8,2012,826,5187582,2757222,2539941,217281,7.9,229.594,49639,0.01592264
104,Colorado,8,2013,864,5268367,2767153,2577556,189597,6.9,232.957,50475,0.016399769
105,Colorado,8,2014,917,5355866,2799491,2659474,140017,5,236.736,52064,0.017121414
106,Colorado,8,2015,893,5456574,2824759,2715059,109700,3.9,237.017,52858,0.01636558
107,Colorado,8,2016,973,5540545,2893268,2798928,94340,3.3,240.007,52567,0.017561449
108,Connecticut,9,1999,330,3386401,1754565,1704134,50431,2.9,166.6,57724,0.009744859
109,Connecticut,9,2000,336,3405565,1764126,1721913,42213,2.4,172.2,61355,0.009866204
110,Connecticut,9,2001,326,3432835,1759829,1704774,55055,3.1,177.1,61872,0.009496524
111,Connecticut,9,2002,377,3458749,1774152,1697127,77025,4.3,179.9,61233,0.010899895
112,Connecticut,9,2003,338,3484336,1784260,1687924,96336,5.4,184,61419,0.009700557
113,Connecticut,9,2004,360,3496094,1774193,1686213,87980,5,188.9,65034,0.010297206
114,Connecticut,9,2005,352,3506956,1796976,1709382,87594,4.9,195.3,66032,0.010037195
115,Connecticut,9,2006,458,3517460,1828651,1749191,79460,4.3,201.6,67458,0.013020759
116,Connecticut,9,2007,444,3527270,1856209,1773159,83050,4.5,207.342,70096,0.012587639
117,Connecticut,9,2008,397,3545579,1881454,1774681,106773,5.7,215.303,68777,0.011197043
118,Connecticut,9,2009,397,3561807,1891077,1740971,150106,7.9,214.537,65574,0.011146028
119,Connecticut,9,2010,372,3574097,1911712,1737449,174263,9.1,218.056,64906,0.010408223
120,Connecticut,9,2011,416,3580709,1914775,1745967,168808,8.8,224.939,63638,0.011617811
121,Connecticut,9,2012,451,3590347,1887419,1729838,157581,8.3,229.594,63502,0.01256146
122,Connecticut,9,2013,600,3596080,1863337,1717764,145573,7.8,232.957,62550,0.016684835
123,Connecticut,9,2014,639,3596677,1892451,1767282,125169,6.6,236.736,62171,0.017766399
124,Connecticut,9,2015,827,3590886,1895832,1787434,108398,5.7,237.017,63464,0.023030528
125,Connecticut,9,2016,997,3576452,1904556,1806575,97981,5.1,240.007,63636,0.02787679
126,Delaware,10,1999,55,774990,398783,385190,13593,3.4,166.6,66794,0.007096866
127,Delaware,10,2000,60,783600,413500,398027,15473,3.7,172.2,68992,0.007656968
128,Delaware,10,2001,70,795699,421786,407033,14753,3.5,177.1,71155,0.008797296
129,Delaware,10,2002,85,806169,416783,400019,16764,4,179.9,67853,0.010543695
130,Delaware,10,2003,88,818003,415160,397472,17688,4.3,184,67956,0.010757907
131,Delaware,10,2004,92,830803,420384,403599,16785,4,188.9,69500,0.011073624
132,Delaware,10,2005,67,845150,432409,414465,17944,4.1,195.3,67525,0.007927587
133,Delaware,10,2006,83,859268,441184,425399,15785,3.6,201.6,67857,0.009659384
134,Delaware,10,2007,102,871749,443573,428312,15261,3.4,207.342,66344,0.011700616
135,Delaware,10,2008,125,883874,447041,424914,22127,4.9,215.303,62535,0.014142287
136,Delaware,10,2009,139,891730,437500,401312,36188,8.3,214.537,64313,0.015587678
137,Delaware,10,2010,147,897934,434419,397869,36550,8.4,218.056,62837,0.016370914
138,Delaware,10,2011,166,907135,443346,410086,33260,7.5,224.939,63793,0.018299371
139,Delaware,10,2012,150,917092,445572,413457,32115,7.2,229.594,62174,0.016356047
140,Delaware,10,2013,170,925749,442728,413119,29609,6.7,232.957,60719,0.018363509
141,Delaware,10,2014,204,935614,453312,427386,25926,5.7,236.736,63368,0.021803864
142,Delaware,10,2015,208,945934,467110,444404,22706,4.9,237.017,64516,0.021988849
143,Delaware,10,2016,288,952065,473881,452434,21447,4.5,240.007,64054,0.030250035
144,District of Columbia,11,1999,55,570213,306131,286650,19481,6.4,166.6,138460,0.009645518
145,District of Columbia,11,2000,84,572059,310469,293086,17383,5.6,172.2,138628,0.0146838
146,District of Columbia,11,2001,111,574504,310515,290811,19704,6.3,177.1,144598,0.019321014
147,District of Columbia,11,2002,70,573158,306099,286496,19603,6.4,179.9,148686,0.012213037
148,District of Columbia,11,2003,119,568502,306422,285454,20968,6.8,184,152623,0.020932204
149,District of Columbia,11,2004,109,567754,312027,287683,24344,7.8,188.9,160065,0.019198456
150,District of Columbia,11,2005,94,567136,315616,295484,20132,6.4,195.3,163100,0.016574508
151,District of Columbia,11,2006,129,570681,316083,297786,18297,5.8,201.6,164366,0.022604572
152,District of Columbia,11,2007,90,574404,322237,304426,17811,5.5,207.342,167668,0.015668415
153,District of Columbia,11,2008,77,580236,330544,309192,21352,6.5,215.303,170687,0.013270462
154,District of Columbia,11,2009,58,592228,335672,304500,31172,9.3,214.537,166178,0.009793525
155,District of Columbia,11,2010,90,601723,346065,313508,32557,9.4,218.056,168030,0.014957048
156,District of Columbia,11,2011,94,617996,350778,315171,35607,10.2,224.939,166870,0.015210454
157,District of Columbia,11,2012,85,632323,364989,331984,33005,9,229.594,163274,0.013442497
158,District of Columbia,11,2013,113,646449,374126,342351,31775,8.5,232.957,159497,0.017480111
159,District of Columbia,11,2014,106,658893,378380,348981,29399,7.8,236.736,159745,0.016087589
160,District of Columbia,11,2015,130,672228,388057,361324,26733,6.9,237.017,159881,0.019338677
161,District of Columbia,11,2016,276,681170,394586,370521,24065,6.1,240.007,160643,0.04051852
162,Florida,12,1999,1061,15759421,7657159,7359460,297699,3.9,166.6,37913,0.006732481
163,Florida,12,2000,1237,15982378,7856895,7565981,290914,3.7,172.2,38860,0.007739774
164,Florida,12,2001,1833,16356966,8043714,7669117,374597,4.7,177.1,39445,0.011206235
165,Florida,12,2002,2041,16689370,8114409,7656349,458060,5.6,179.9,40254,0.012229341
166,Florida,12,2003,2153,17004085,8210696,7783148,427548,5.2,184,40983,0.012661663
167,Florida,12,2004,2408,17415318,8440428,8049908,390520,4.6,188.9,41736,0.013826908
168,Florida,12,2005,2664,17842038,8720970,8398974,321996,3.7,195.3,43326,0.01493103
169,Florida,12,2006,2928,18166990,9000204,8709522,290682,3.2,201.6,43926,0.016117144
170,Florida,12,2007,2936,18367842,9157124,8789770,367354,4,207.342,43506,0.015984458
171,Florida,12,2008,3097,18527305,9215524,8637164,578360,6.3,215.303,41241,0.016715869
172,Florida,12,2009,3193,18652644,9094825,8148123,946702,10.4,214.537,38695,0.017118217
173,Florida,12,2010,3181,18801310,9212066,8193659,1018407,11.1,218.056,38604,0.016919034
174,Florida,12,2011,3033,19057542,9300542,8371638,928904,10,224.939,37876,0.015914959
175,Florida,12,2012,2697,19317568,9382993,8588669,794324,8.5,229.594,37705,0.013961385
176,Florida,12,2013,2603,19552860,9453747,8770084,683663,7.2,232.957,38023,0.01331263
177,Florida,12,2014,2804,19893297,9581083,8979399,601684,6.3,236.736,38477,0.0140952
178,Florida,12,2015,3377,20271272,9629632,9104357,525275,5.5,237.017,39289,0.016659043
179,Florida,12,2016,4963,20612439,9846000,9373059,472941,4.8,240.007,39506,0.024077694
180,Georgia,13,1999,347,8045965,4153499,3990393,163106,3.9,166.6,44677,0.004312721
181,Georgia,13,2000,429,8186453,4222253,4071557,150696,3.6,172.2,45447,0.005240365
182,Georgia,13,2001,591,8377038,4262041,4089559,172482,4,177.1,45181,0.007055
183,Georgia,13,2002,631,8508256,4327691,4110874,216817,5,179.9,44771,0.007416326
184,Georgia,13,2003,684,8622793,4394437,4182521,211916,4.8,184,45453,0.007932465
185,Georgia,13,2004,730,8769252,4451800,4239065,212735,4.8,188.9,46599,0.008324541
186,Georgia,13,2005,820,8925922,4586420,4341223,245197,5.3,195.3,47610,0.009186726
187,Georgia,13,2006,912,9155813,4710775,4489128,221647,4.7,201.6,47013,0.009960885
188,Georgia,13,2007,973,9349988,4815818,4597640,218178,4.5,207.342,46374,0.01040643
189,Georgia,13,2008,977,9504843,4879253,4575010,304243,6.2,215.303,44239,0.01027897
190,Georgia,13,2009,1043,9620846,4787749,4311854,475895,9.9,214.537,42052,0.010841042
191,Georgia,13,2010,1124,9687653,4696676,4202052,494624,10.5,218.056,42029,0.011602397
192,Georgia,13,2011,1112,9815210,4748754,4263305,485449,10.2,224.939,42140,0.011329355
193,Georgia,13,2012,1115,9919945,4787367,4348083,439284,9.2,229.594,42191,0.011239982
194,Georgia,13,2013,1160,9992167,4756157,4366374,389783,8.2,232.957,42500,0.011609093
195,Georgia,13,2014,1268,10097343,4752639,4416145,336494,7.1,236.736,43465,0.012557759
196,Georgia,13,2015,1370,10214860,4788858,4503150,285708,6,237.017,44299,0.013411833
197,Georgia,13,2016,1461,10310371,4926945,4662849,264096,5.4,240.007,45140,0.014170198
198,Hawaii,15,1999,83,1210300,602907,570394,32513,5.4,166.6,43398,0.006857804
199,Hawaii,15,2000,64,1211537,605947,580214,25733,4.2,172.2,44260,0.005282546
200,Hawaii,15,2001,83,1225948,610630,583187,27443,4.5,177.1,43778,0.006770271
201,Hawaii,15,2002,85,1239613,600924,575594,25330,4.2,179.9,44658,0.006856979
202,Hawaii,15,2003,102,1251154,603122,578323,24799,4.1,184,46437,0.008152474
203,Hawaii,15,2004,128,1273569,610912,590156,20756,3.4,188.9,48373,0.010050496
204,Hawaii,15,2005,143,1292729,626912,608957,17955,2.9,195.3,50145,0.01106187
205,Hawaii,15,2006,131,1309731,638260,621573,16687,2.6,201.6,50631,0.010002054
206,Hawaii,15,2007,142,1315675,638395,620535,17860,2.8,207.342,51245,0.010792939
207,Hawaii,15,2008,129,1332213,639691,612120,27571,4.3,215.303,50833,0.009683136
208,Hawaii,15,2009,148,1346717,631690,586522,45168,7.2,214.537,48549,0.010989688
209,Hawaii,15,2010,154,1360301,647249,602282,44967,6.9,218.056,49418,0.011321024
210,Hawaii,15,2011,189,1374810,660253,615319,44934,6.8,224.939,49331,0.013747354
211,Hawaii,15,2012,159,1392313,647185,608302,38883,6,229.594,49513,0.011419846
212,Hawaii,15,2013,167,1404054,651557,619691,31866,4.9,232.957,49539,0.011894129
213,Hawaii,15,2014,174,1419561,666674,637661,29013,4.4,236.736,49716,0.012257311
214,Hawaii,15,2015,175,1431603,675506,651459,24047,3.6,237.017,50994,0.012224059
215,Hawaii,15,2016,207,1428557,684167,664032,20135,2.9,240.007,51819,0.014490146
216,Idaho,16,1999,66,1275674,651207,619237,31970,4.9,166.6,31920,0.005173736
217,Idaho,16,2000,70,1293953,659824,628844,30980,4.7,172.2,34851,0.005409779
218,Idaho,16,2001,99,1319962,677665,643280,34385,5.1,177.1,33390,0.007500216
219,Idaho,16,2002,123,1340372,684591,646549,38042,5.6,179.9,33638,0.009176557
220,Idaho,16,2003,118,1363380,690005,651335,38670,5.6,184,34034,0.00865496
221,Idaho,16,2004,113,1391802,703062,668441,34621,4.9,188.9,34665,0.008118971
222,Idaho,16,2005,118,1428241,731670,702291,29379,4,195.3,35895,0.008261911
223,Idaho,16,2006,147,1468669,747377,721346,26031,3.5,201.6,36931,0.010009063
224,Idaho,16,2007,133,1505105,754438,731235,23203,3.1,207.342,37080,0.008836593
225,Idaho,16,2008,152,1534320,755153,716653,38500,5.1,215.303,36691,0.009906669
226,Idaho,16,2009,181,1554439,757131,690722,66409,8.8,214.537,34664,0.011644072
227,Idaho,16,2010,184,1567582,761056,692826,68230,9,218.056,34620,0.011737823
228,Idaho,16,2011,199,1584985,765178,701466,63712,8.3,224.939,34270,0.012555324
229,Idaho,16,2012,188,1595728,769256,713704,55552,7.2,229.594,34094,0.011781456
