,state,state_code,year,drug_deaths,population,labor_force,employment,unemployment,unemployment_rate,cpi_all_urban_consumers,gdp_per_capita,death_rate
688,Pennsylvania,42,2003,1441,12374658,6170359,5821711,348648,5.7,184,43553,0.011644766
689,Pennsylvania,42,2004,1600,12410722,6213778,5876997,336781,5.4,188.9,44585,0.012892078
690,Pennsylvania,42,2005,1680,12449990,6251402,5940570,310832,5,195.3,45035,0.013493987
691,Pennsylvania,42,2006,1834,12510809,6294504,6006634,287870,4.6,201.6,45021,0.014659324
692,Pennsylvania,42,2007,1812,12563937,6342997,6064063,278934,4.4,207.342,46330,0.014422231
693,Pennsylvania,42,2008,1898,12612285,6451535,6109645,341890,5.3,215.303,46862,0.015048819
694,Pennsylvania,42,2009,1983,12666858,6400263,5885351,514912,8,214.537,45312,0.015655027
695,Pennsylvania,42,2010,1980,12702379,6380949,5840887,540062,8.5,218.056,46387,0.015587631
696,Pennsylvania,42,2011,2342,12742886,6395506,5888745,506761,7.9,224.939,46872,0.018378882
697,Pennsylvania,42,2012,2459,12763536,6462939,5957314,505625,7.8,229.594,47540,0.019265821
698,Pennsylvania,42,2013,2525,12773801,6442411,5967811,474600,7.4,232.957,48278,0.019767022
699,Pennsylvania,42,2014,2829,12787209,6396041,6021005,375036,5.9,236.736,49214,0.022123671
700,Pennsylvania,42,2015,3376,12802503,6420702,6080219,340483,5.3,237.017,50357,0.026369843
701,Pennsylvania,42,2016,4762,12784227,6452812,6105223,347589,5.4,240.007,50665,0.037249026
702,Rhode Island,44,1999,61,1040402,538096,515760,22336,4.2,166.6,40034,0.005863118
703,Rhode Island,44,2000,76,1048319,543561,521313,22248,4.1,172.2,41395,0.007249702
704,Rhode Island,44,2001,116,1057142,543862,519044,24818,4.6,177.1,41989,0.010972982
705,Rhode Island,44,2002,112,1065995,550256,522832,27424,5,179.9,43041,0.010506616
706,Rhode Island,44,2003,157,1071342,560483,530567,29916,5.3,184,44625,0.014654517
707,Rhode Island,44,2004,109,1074579,558688,529893,28795,5.2,188.9,46310,0.010143507
708,Rhode Island,44,2005,163,1067916,565735,537194,28541,5,195.3,47176,0.015263373
709,Rhode Island,44,2006,179,1063096,572601,544357,28244,4.9,201.6,48259,0.016837614
710,Rhode Island,44,2007,142,1057315,573173,543401,29772,5.2,207.342,47137,0.013430245
711,Rhode Island,44,2008,193,1055003,570328,525941,44387,7.8,215.303,45746,0.018293787
712,Rhode Island,44,2009,168,1053646,567280,504951,62329,11,214.537,45280,0.015944634
713,Rhode Island,44,2010,176,1052567,566704,503216,63488,11.2,218.056,46332,0.016721026
714,Rhode Island,44,2011,193,1051302,560056,498248,61808,11,224.939,46010,0.018358188
715,Rhode Island,44,2012,201,1050292,558487,500434,58053,10.4,229.594,46188,0.019137535
716,Rhode Island,44,2013,252,1051511,556926,505370,51556,9.3,232.957,46356,0.023965512
717,Rhode Island,44,2014,253,1055173,555909,513121,42788,7.7,236.736,46723,0.023977111
718,Rhode Island,44,2015,318,1056298,554486,521255,33231,6,237.017,47541,0.030105141
719,Rhode Island,44,2016,330,1056426,553555,524745,28810,5.2,240.007,47739,0.031237399
720,South Carolina,45,1999,168,3974682,1981546,1897056,84490,4.3,166.6,35728,0.004226753
721,South Carolina,45,2000,289,4012012,1993562,1918583,74979,3.8,172.2,36070,0.007203368
722,South Carolina,45,2001,265,4064995,1949685,1847939,101746,5.2,177.1,35902,0.006519073
723,South Carolina,45,2002,238,4107795,1949135,1835823,113312,5.8,179.9,36341,0.005793863
724,South Carolina,45,2003,310,4150297,1997977,1859765,138212,6.9,184,37283,0.007469345
725,South Carolina,45,2004,383,4210921,2033310,1894141,139169,6.8,188.9,37124,0.009095397
726,South Carolina,45,2005,486,4270150,2068599,1929233,139366,6.7,195.3,37397,0.011381333
727,South Carolina,45,2006,641,4357847,2109097,1973337,135760,6.4,201.6,37326,0.014709098
728,South Carolina,45,2007,584,4444110,2125891,2005686,120205,5.7,207.342,37724,0.013140989
729,South Carolina,45,2008,588,4528996,2142232,1996409,145823,6.8,215.303,36834,0.01298301
730,South Carolina,45,2009,631,4589872,2152745,1910670,242075,11.2,214.537,34955,0.01374766
731,South Carolina,45,2010,697,4625364,2155668,1915045,240623,11.2,218.056,35126,0.015069084
732,South Carolina,45,2011,641,4679230,2175523,1945900,229623,10.6,224.939,35609,0.013698835
733,South Carolina,45,2012,611,4723723,2186878,1985618,201260,9.2,229.594,35346,0.012934713
734,South Carolina,45,2013,648,4774839,2190968,2023642,167326,7.6,232.957,35701,0.013571138
735,South Carolina,45,2014,726,4832482,2222978,2079565,143413,6.5,236.736,36301,0.015023336
736,South Carolina,45,2015,793,4896146,2269339,2134244,135095,6,237.017,36917,0.016196412
737,South Carolina,45,2016,927,4961119,2293666,2179521,114145,5,240.007,37075,0.018685301
738,South Dakota,46,1999,20,750412,406105,395047,11058,2.7,166.6,33574,0.002665203
739,South Dakota,46,2000,25,754844,408658,398618,10040,2.5,172.2,35601,0.003311943
740,South Dakota,46,2001,25,757972,412778,400031,12747,3.1,177.1,36327,0.003298275
741,South Dakota,46,2002,24,760020,417517,404239,13278,3.2,179.9,40062,0.003157812
742,South Dakota,46,2003,25,763729,423035,408088,14947,3.5,184,40909,0.003273412
743,South Dakota,46,2004,51,770396,427664,411762,15902,3.7,188.9,42046,0.006619972
744,South Dakota,46,2005,47,775493,430606,414209,16397,3.8,195.3,42762,0.006060661
745,South Dakota,46,2006,43,783033,435007,421483,13524,3.1,201.6,42825,0.005491467
746,South Dakota,46,2007,34,791623,442499,430011,12488,2.8,207.342,44017,0.004294974
747,South Dakota,46,2008,57,799124,446618,432925,13693,3.1,215.303,45516,0.00713281
748,South Dakota,46,2009,51,807067,446010,423993,22017,4.9,214.537,45457,0.006319178
749,South Dakota,46,2010,48,814180,441339,419355,21984,5,218.056,45605,0.005895502
750,South Dakota,46,2011,60,824082,440934,420054,20880,4.7,224.939,47972,0.007280829
751,South Dakota,46,2012,45,833354,442442,423501,18941,4.3,229.594,46965,0.005399866
752,South Dakota,46,2013,57,844877,443079,426284,16795,3.8,232.957,46869,0.006746544
753,South Dakota,46,2014,70,853175,446475,431139,15336,3.4,236.736,46874,0.008204647
754,South Dakota,46,2015,72,858469,449408,435450,13958,3.1,237.017,47894,0.008387024
755,South Dakota,46,2016,75,865454,451934,438377,13557,3,240.007,47808,0.008665972
756,Tennessee,47,1999,374,5638706,2852445,2739189,113256,4,166.6,38930,0.006632727
757,Tennessee,47,2000,426,5689283,2843069,2733281,109788,3.9,172.2,38892,0.007487763
758,Tennessee,47,2001,469,5750789,2861343,2730988,130355,4.6,177.1,38631,0.008155403
759,Tennessee,47,2002,524,5795918,2906591,2756086,150505,5.2,179.9,39514,0.009040846
760,Tennessee,47,2003,713,5847812,2912187,2748140,164047,5.6,184,40463,0.012192594
761,Tennessee,47,2004,822,5910809,2878736,2725108,153628,5.3,188.9,41777,0.013906726
762,Tennessee,47,2005,936,5991057,2904794,2743383,161411,5.6,195.3,41868,0.015623287
763,Tennessee,47,2006,1030,6088766,3036029,2878455,157574,5.2,201.6,42177,0.0169164
764,Tennessee,47,2007,1035,6175727,3063669,2920352,143317,4.7,207.342,41172,0.016759161
765,Tennessee,47,2008,977,6247411,3054785,2853746,201039,6.6,215.303,40949,0.015638478
766,Tennessee,47,2009,1000,6306019,3052678,2733113,319565,10.5,214.537,39096,0.015857865
767,Tennessee,47,2010,1132,6346105,3090795,2792063,298732,9.7,218.056,39370,0.017837713
768,Tennessee,47,2011,1123,6403353,3125307,2844662,280645,9,224.939,40193,0.017537687
769,Tennessee,47,2012,1221,6456243,3100671,2857945,242726,7.8,229.594,41091,0.018911928
770,Tennessee,47,2013,1284,6495978,3067431,2828479,238952,7.8,232.957,41487,0.019766077
771,Tennessee,47,2014,1330,6549352,3022927,2824016,198911,6.6,236.736,41875,0.020307353
772,Tennessee,47,2015,1546,6600299,3062706,2890640,172066,5.6,237.017,42803,0.023423181
773,Tennessee,47,2016,1740,6651194,3134725,2987074,147651,4.7,240.007,43688,0.026160716
774,Texas,48,1999,1250,20558220,10245857,9767851,478006,4.7,166.6,43825,0.006080293
775,Texas,48,2000,1211,20851820,10374053,9929387,444666,4.3,172.2,44432,0.005807647
776,Texas,48,2001,1522,21319622,10532732,10011046,521686,5,177.1,44784,0.007138963
777,Texas,48,2002,1780,21690325,10748810,10065870,682940,6.4,179.9,44661,0.008206424
778,Texas,48,2003,1985,22030931,10914664,10185312,729352,6.7,184,44330,0.00901006
779,Texas,48,2004,2039,22394023,10992359,10338484,653875,5.9,188.9,45691,0.009105108
780,Texas,48,2005,2152,22778123,11124240,10523257,600983,5.4,195.3,45966,0.009447662
781,Texas,48,2006,2452,23359580,11327995,10774490,553505,4.9,201.6,47595,0.010496764
782,Texas,48,2007,2343,23831983,11431631,10941413,490218,4.3,207.342,48954,0.009831326
783,Texas,48,2008,2199,24309039,11664390,11104115,560275,4.8,215.303,48282,0.009046018
784,Texas,48,2009,2509,24801761,11910799,11008903,901896,7.6,214.537,47034,0.010116217
785,Texas,48,2010,2492,25145561,12241970,11244632,997338,8.1,218.056,47417,0.009910298
786,Texas,48,2011,2690,25674681,12504498,11535095,969403,7.8,224.939,48354,0.010477248
787,Texas,48,2012,2546,26059203,12670455,11818675,851780,6.7,229.594,50266,0.009770061
788,Texas,48,2013,2606,26448193,12857595,12052646,804949,6.3,232.957,52018,0.009853225
789,Texas,48,2014,2727,26956958,13024701,12360368,664333,5.1,236.736,52875,0.010116127
790,Texas,48,2015,2732,27469114,13074570,12493197,581373,4.4,237.017,54134,0.009945716
791,Texas,48,2016,2965,27862596,13317176,12702122,615054,4.6,240.007,53129,0.010641507
792,Utah,49,1999,212,2203482,1120920,1081276,39644,3.5,166.6,38084,0.009621136
793,Utah,49,2000,224,2233169,1142044,1103807,38237,3.3,172.2,38695,0.010030589
794,Utah,49,2001,216,2283715,1164077,1112607,51470,4.4,177.1,38849,0.009458273
795,Utah,49,2002,300,2324815,1184751,1116067,68684,5.8,179.9,38764,0.012904253
796,Utah,49,2003,368,2360137,1200236,1132554,67682,5.6,184,39094,0.015592315
797,Utah,49,2004,411,2401580,1231160,1169795,61365,5,188.9,40089,0.017113733
798,Utah,49,2005,481,2457719,1272445,1220617,51828,4.1,195.3,41657,0.019570992
799,Utah,49,2006,481,2525507,1318450,1279328,39122,3,201.6,44004,0.019045681
800,Utah,49,2007,546,2597746,1359129,1324060,35069,2.6,207.342,45293,0.021018221
801,Utah,49,2008,483,2663029,1371201,1322089,49112,3.6,215.303,43375,0.018137241
802,Utah,49,2009,508,2723421,1365850,1266009,99841,7.3,214.537,41563,0.01865301
803,Utah,49,2010,457,2763885,1356097,1249814,106283,7.8,218.056,41500,0.016534697
804,Utah,49,2011,520,2817222,1350444,1259337,91107,6.7,224.939,41992,0.018457899
805,Utah,49,2012,612,2855287,1372971,1298807,74164,5.4,229.594,41929,0.021433922
806,Utah,49,2013,612,2900872,1405630,1341192,64438,4.6,232.957,42267,0.021097105
807,Utah,49,2014,617,2942902,1428293,1373801,54492,3.8,236.736,43145,0.0209657
808,Utah,49,2015,667,2995919,1464173,1411194,52979,3.6,237.017,44174,0.022263619
809,Utah,49,2016,685,3051217,1511279,1459309,51970,3.4,240.007,44893,0.022450058
810,Vermont,50,1999,31,604683,336946,326979,9967,3,166.6,35087,0.005126653
811,Vermont,50,2000,37,608827,331404,322129,9275,2.8,172.2,36622,0.00607726
812,Vermont,50,2001,53,612223,337065,325889,11176,3.3,177.1,37618,0.008656976
813,Vermont,50,2002,54,615442,343139,329427,13712,4,179.9,38541,0.008774182
814,Vermont,50,2003,73,617858,345971,331122,14849,4.3,184,39886,0.011815013
815,Vermont,50,2004,52,619920,347673,334899,12774,3.7,188.9,41165,0.008388179
816,Vermont,50,2005,55,621215,350766,338553,12213,3.5,195.3,41588,0.008853618
817,Vermont,50,2006,83,622892,357007,343865,13142,3.7,201.6,41754,0.013324942
818,Vermont,50,2007,68,623481,353739,339547,14192,4,207.342,41472,0.010906507
819,Vermont,50,2008,76,624151,354899,338273,16626,4.7,215.303,41764,0.012176541
820,Vermont,50,2009,57,624817,359836,336104,23732,6.6,214.537,40855,0.009122671
821,Vermont,50,2010,68,625741,359402,337488,21914,6.1,218.056,42170,0.010867116
822,Vermont,50,2011,87,626431,358108,338463,19645,5.5,224.939,43124,0.013888202
823,Vermont,50,2012,81,626011,354857,337284,17573,5,229.594,43042,0.01293907
824,Vermont,50,2013,99,626630,350447,334964,15483,4.4,232.957,42914,0.015798797
825,Vermont,50,2014,90,626562,347172,333438,13734,4,236.736,43120,0.014364101
826,Vermont,50,2015,111,626042,344520,332199,12321,3.6,237.017,43571,0.01773044
827,Vermont,50,2016,131,624594,344572,333399,11173,3.2,240.007,43984,0.020973624
828,Virginia,51,1999,391,7000174,3540081,3443020,97061,2.7,166.6,46223,0.005585575
829,Virginia,51,2000,441,7078515,3605811,3522865,82946,2.3,172.2,47313,0.00623012
830,Virginia,51,2001,503,7198362,3670137,3551375,118762,3.2,177.1,48194,0.006987701
831,Virginia,51,2002,527,7286873,3726468,3569570,156898,4.2,179.9,47962,0.007232183
832,Virginia,51,2003,580,7366977,3753703,3599264,154439,4.1,184,49191,0.007872972
833,Virginia,51,2004,595,7475575,3795246,3650269,144977,3.8,188.9,50400,0.007959254
834,Virginia,51,2005,617,7577105,3897042,3757592,139450,3.6,195.3,52305,0.008142952
835,Virginia,51,2006,670,7673725,3978641,3855633,123008,3.1,201.6,52866,0.008731092
836,Virginia,51,2007,713,7751000,4036835,3914087,122748,3,207.342,52657,0.009198813
837,Virginia,51,2008,730,7833496,4133443,3970428,163015,3.9,215.303,51985,0.009318955
838,Virginia,51,2009,700,7925937,4118171,3842516,275655,6.7,214.537,51389,0.008831763
839,Virginia,51,2010,571,8001024,4157658,3860386,297272,7.1,218.056,51946,0.007136587
840,Virginia,51,2011,817,8096604,4211802,3934326,277476,6.6,224.939,51754,0.01009065
841,Virginia,51,2012,755,8185867,4223844,3967987,255857,6.1,229.594,51546,0.009223214
842,Virginia,51,2013,890,8260405,4237277,3995182,242095,5.7,232.957,51106,0.01077429
843,Virginia,51,2014,1002,8326289,4244109,4022160,221949,5.2,236.736,50879,0.012034173
844,Virginia,51,2015,1070,8382993,4216974,4029043,187931,4.5,237.017,51667,0.012763938
845,Virginia,51,2016,1444,8411808,4242650,4069139,173511,4.1,240.007,51643,0.017166345
846,Washington,53,1999,596,5842564,3085544,2935202,150342,4.9,166.6,50591,0.010201001
847,Washington,53,2000,599,5894121,3059339,2901492,157847,5.2,172.2,50063,0.010162669
848,Washington,53,2001,547,5985722,3039367,2847875,191492,6.3,177.1,48408,0.009138413
849,Washington,53,2002,694,6052349,3082839,2854762,228077,7.4,179.9,48855,0.011466622
850,Washington,53,2003,752,6104115,3127404,2895863,231541,7.4,184,49149,0.012319558
851,Washington,53,2004,888,6178645,3197095,2996795,200300,6.3,188.9,49407,0.014372083
852,Washington,53,2005,931,6257305,3263703,3082399,181304,5.6,195.3,51956,0.01487861
853,Washington,53,2006,970,6370753,3323938,3156626,167312,5,201.6,52900,0.01522583
854,Washington,53,2007,1003,6461587,3403163,3243308,159855,4.7,207.342,55348,0.015522502
855,Washington,53,2008,1058,6562231,3478577,3291309,187268,5.4,215.303,54939,0.016122566
856,Washington,53,2009,1031,6667426,3535200,3211649,323551,9.2,214.537,52264,0.015463239
857,Washington,53,2010,962,6724540,3511326,3160544,350782,10,218.056,52679,0.014305811
858,Washington,53,2011,1050,6830038,3461428,3140190,321238,9.3,224.939,52500,0.015373267
859,Washington,53,2012,1033,6897012,3471282,3189271,282011,8.1,229.594,53439,0.0149775
860,Washington,53,2013,1042,6971406,3463869,3219842,244027,7,232.957,54161,0.01494677
861,Washington,53,2014,1058,7061530,3489666,3275753,213913,6.1,236.736,55197,0.014982589
862,Washington,53,2015,1189,7170351,3545904,3345496,200408,5.7,237.017,56407,0.016582173
863,Washington,53,2016,1212,7288000,3635200,3444126,191074,5.3,240.007,57727,0.016630077
864,West Virginia,54,1999,80,1811799,804343,752379,51964,6.5,166.6,32208,0.004415501
865,West Virginia,54,2000,122,1808344,809063,764711,44352,5.5,172.2,32144,0.006746504
866,West Virginia,54,2001,217,1801481,809128,768661,40467,5,177.1,32263,0.012045645
867,West Virginia,54,2002,237,1805414,799998,752548,47450,5.9,179.9,32506,0.013127183
868,West Virginia,54,2003,279,1812295,786552,738990,47562,6,184,32396,0.015394845
869,West Virginia,54,2004,347,1816438,783658,741890,41768,5.3,188.9,32862,0.019103322
870,West Virginia,54,2005,197,1820492,790982,750561,40421,5.1,195.3,33628,0.010821251
871,West Virginia,54,2006,378,1827912,806168,766399,39769,4.9,201.6,34009,0.020679332
872,West Virginia,54,2007,405,1834052,811160,773990,37170,4.6,207.342,33892,0.022082253
873,West Virginia,54,2008,468,1840310,812905,777560,35345,4.3,215.303,34679,0.025430498
874,West Virginia,54,2009,235,1847775,814027,751165,62862,7.7,214.537,34564,0.012717999
875,West Virginia,54,2010,520,1852994,811125,740910,70215,8.7,218.056,35368,0.028062692
876,West Virginia,54,2011,645,1855364,807021,741972,65049,8.1,224.939,36084,0.034764068
877,West Virginia,54,2012,576,1855413,807917,747384,60533,7.5,229.594,35509,0.031044301
878,West Virginia,54,2013,583,1854304,798530,744410,54120,6.8,232.957,35755,0.031440368
879,West Virginia,54,2014,646,1850326,787845,735511,52334,6.6,236.736,36059,0.034912767
880,West Virginia,54,2015,750,1844128,780428,727758,52670,6.7,237.017,36461,0.040669628
881,West Virginia,54,2016,912,1831102,781600,733980,47620,6.1,240.007,36244,0.049806073
882,Wisconsin,55,1999,237,5332666,2947247,2855212,92035,3.1,166.6,41053,0.004444306
883,Wisconsin,55,2000,278,5363675,2973221,2868382,104839,3.5,172.2,41911,0.005183014
884,Wisconsin,55,2001,297,5406835,3011703,2875585,136118,4.5,177.1,42078,0.005493047
885,Wisconsin,55,2002,364,5445162,3024319,2861621,162698,5.4,179.9,42694,0.006684833
886,Wisconsin,55,2003,433,5479203,3053642,2879779,173863,5.7,184,43568,0.007902609
887,Wisconsin,55,2004,483,5514026,3034581,2882064,152517,5,188.9,44455,0.00875948
888,Wisconsin,55,2005,561,5546166,3021086,2878086,143000,4.7,195.3,45131,0.010115096
889,Wisconsin,55,2006,642,5577655,3058935,2914150,144785,4.7,201.6,45515,0.011510214
890,Wisconsin,55,2007,639,5610775,3087828,2936452,151376,4.9,207.342,45464,0.011388801
891,Wisconsin,55,2008,622,5640996,3091796,2940438,151358,4.9,215.303,44622,0.011026422
892,Wisconsin,55,2009,641,5669264,3100348,2834335,266013,8.6,214.537,43215,0.011306582
893,Wisconsin,55,2010,635,5686986,3081512,2814393,267119,8.7,218.056,44126,0.011165844
894,Wisconsin,55,2011,712,5711767,3079759,2840996,238763,7.8,224.939,44906,0.012465494
895,Wisconsin,55,2012,714,5726398,3073981,2857418,216563,7,229.594,45382,0.012468571
896,Wisconsin,55,2013,874,5742713,3079305,2871997,207308,6.7,232.957,45845,0.015219287
897,Wisconsin,55,2014,874,5757564,3082564,2915848,166716,5.4,236.736,46423,0.015180031
898,Wisconsin,55,2015,894,5771337,3094351,2953622,140729,4.5,237.017,47325,0.015490345
899,Wisconsin,55,2016,1103,5778708,3130520,3005478,125042,4,240.007,47833,0.019087312
900,Wyoming,56,1999,21,491780,262758,250605,12153,4.6,166.6,49380,0.004270202
901,Wyoming,56,2000,27,493782,266808,256414,10394,3.9,172.2,50814,0.005468
902,Wyoming,56,2001,25,494657,269359,259089,10270,3.8,177.1,53656,0.005054007
903,Wyoming,56,2002,36,500017,269546,258650,10896,4,179.9,53921,0.007199755
904,Wyoming,56,2003,37,503453,273620,261970,11650,4.3,184,54930,0.007349246
905,Wyoming,56,2004,64,509106,274794,264321,10473,3.8,188.9,55848,0.012571056
906,Wyoming,56,2005,45,514157,276527,266630,9897,3.6,195.3,57642,0.00875219
907,Wyoming,56,2006,64,522667,281247,272336,8911,3.2,201.6,63428,0.01224489
908,Wyoming,56,2007,68,534876,286560,278486,8074,2.8,207.342,65471,0.012713227
909,Wyoming,56,2008,74,546043,293279,284310,8969,3.1,215.303,69182,0.013552046
910,Wyoming,56,2009,63,559851,300120,281150,18970,6.3,214.537,66320,0.011252994
911,Wyoming,56,2010,88,563626,303297,283744,19553,6.4,218.056,64603,0.01561319
912,Wyoming,56,2011,88,568158,306815,289019,17796,5.8,224.939,63985,0.015488649
913,Wyoming,56,2012,99,576412,307267,290932,16335,5.3,229.594,60777,0.017175215
914,Wyoming,56,2013,99,582658,306608,292131,14477,4.7,232.957,60770,0.016991099
915,Wyoming,56,2014,112,584153,306331,293657,12674,4.1,236.736,60900,0.019173059
916,Wyoming,56,2015,99,586107,304775,291686,13089,4.3,237.017,60979,0.016891114
917,Wyoming,56,2016,103,585501,300922,285052,15870,5.3,240.007,60004,0.017591772
